timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165241851,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-37,text,false,,875,0,1,1,null,0,0,0
1678165241861,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-38,text,false,,875,0,1,1,null,0,0,0
1678165241861,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-38,text,false,,875,0,1,1,null,0,0,0
1678165241872,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-39,text,false,,875,0,1,1,null,0,0,0
1678165241872,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-39,text,false,,875,0,1,1,null,0,0,0
1678165241881,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-40,text,false,,875,0,1,1,null,0,0,0
1678165241882,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-40,text,false,,875,0,1,1,null,0,0,0
1678165241891,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-41,text,false,,875,0,1,1,null,0,0,0
1678165241891,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-41,text,false,,875,0,1,1,null,0,0,0
1678165241901,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-42,text,false,,875,0,1,1,null,0,0,0
1678165241901,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-42,text,false,,875,0,1,1,null,0,0,0
1678165241911,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-43,text,false,,875,0,1,1,null,0,0,0
1678165241911,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-43,text,false,,875,0,1,1,null,0,0,0
1678165241919,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-44,text,false,,875,0,1,1,null,0,0,0
1678165241920,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-44,text,false,,875,0,1,1,null,0,0,0
1678165241930,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-45,text,false,,875,0,1,1,null,0,0,0
1678165241930,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-45,text,false,,875,0,1,1,null,0,0,0
1678165241941,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-46,text,false,,875,0,1,1,null,0,0,0
1678165241941,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-46,text,false,,875,0,1,1,null,0,0,0
1678165241951,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-47,text,false,,875,0,1,1,null,0,0,0
1678165241951,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-47,text,false,,875,0,1,1,null,0,0,0
1678165241959,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-48,text,false,,875,0,1,1,null,0,0,0
1678165241960,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-48,text,false,,875,0,1,1,null,0,0,0
1678165241971,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-49,text,false,,875,0,1,1,null,0,0,0
1678165241972,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-49,text,false,,875,0,1,1,null,0,0,0
1678165241977,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-50,text,false,,875,0,1,1,null,0,0,0
1678165241977,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-50,text,false,,875,0,1,1,null,0,0,0
